260114-317697574481463,未发货，退款成功
260114-138894426483455,未发货，退款成功
260114-053896855951269,未发货，退款成功
260114-397494197801829,未发货，退款成功
260114-631934850612792,未发货，退款成功
260114-063260639594047,未发货，退款成功
260114-213584453192566,未发货，退款成功
260114-457326016901649,未发货，退款成功
260114-223441129843455,未发货，退款成功
260114-390143680040363,未发货，退款成功
260114-674459881834047,未发货，退款成功
260114-227818892872566,未发货，退款成功
260114-304931193272357,未发货，退款成功
260114-149930719622674,未发货，退款成功
260114-462720930121392,未发货，退款成功
260114-116858590801463,未发货，退款成功
260114-089218117192023,已发货，待收货
260114-373812171053461,已发货，待收货
260114-167620186511694,已发货，待收货
260114-553962708590976,已发货，待收货
260114-345673644460046,已发货，待收货
260114-146465175870997,已发货，待收货
260114-456707294722317,已发货，待收货
260114-048192581193233,已发货，待收货
260114-127653722491272,已发货，待收货
260114-590694377770910,已发货，待收货
260114-634839375431812,已发货，待收货
260114-037774968394073,已发货，待收货
260114-309613115721289,未发货，退款成功
260114-466327969333748,已发货，待收货
260114-095887112490082,已发货，待收货
260114-280352602410024,已发货，待收货
260114-253886523814021,未发货，退款成功
260115-296390562194040,#N/A
260115-112617111922983,#N/A
260115-549464389930720,#N/A
260115-324806940263478,#N/A
260115-198946342440369,#N/A
260115-242661465670072,#N/A
260115-212619835700649,#N/A
260115-154444777110737,#N/A
260115-496374966560974,#N/A
260115-436983632221258,#N/A
260115-205908928842927,#N/A
260115-122400304781708,#N/A
