260115-420227356193641,已发货，待收货,,,
260115-436983632221258,已发货，待收货,,,
260115-464414348953785,未发货，退款成功,,,
260115-477248950582254,已发货，待收货,,,
260115-496374966560974,已发货，待收货,,,
260115-502519621931677,未发货，退款成功,,,
260115-549464389930720,已发货，待收货,,,
260115-554623311400510,未发货，退款成功,,,
260115-566986084730255,已发货，待收货,,,
260115-575961885030019,已发货，待收货,,,
260115-617076497932967,未发货，退款成功,,,
260116-193651095941293,#N/A,,,
260116-198432550542924,#N/A,,,
260116-281909675611389,#N/A,,,
260116-381555873313630,#N/A,,,
260116-396256878113121,#N/A,,,
260116-431530974792340,#N/A,,,
2.60116E+20,#N/A,,,
260108-052376399380120,未发货，退款成功,,,
260108-588492316191205,未发货，退款成功,,,
260108-452429104730508,未发货，退款成功,,,
260108-390605053513255,未发货，退款成功,,,
260108-083833669180918,未发货，退款成功,,,
260108-107772669553784,已收货,,,
260110-617359675771876,已收货,,,
260108-501009620542311,已收货,,,
260112-456193524070207,已收货,,,
260113-394977667382809,已收货,,,
260108-251207401791202,已收货,,,
260108-145416547890166,已收货,,,
260108-306781929842030,已收货,,,
260108-031425882553859,已发货，待收货,,,
260108-215471962553794,已发货，待收货,,,
260108-450185172502233,已收货,,,
260108-109010010493070,已发货，待收货,,,
"
260108-422544709190454
",#N/A,,,
260108-141547312710454,已发货，待收货,,,154.6
260108-227289351722009,已发货，待收货,,,195.32
260108-626125708943227,已收货,,,195.6
260109-445938439823075,已收货,,,138.4
260109-418339888794090,已收货,,,149.91
260109-510111301980884,已收货,,,114.8
260109-189142177321043,已收货,,,110.18
260109-056874790441043,已收货,,,118.2
260110-483823480390491,已收货,,,117.99
260108-033302823313485,已收货,,,124.4
260109-039803952653951,已收货,,,157.4
260109-190977206601610,已发货，待收货,,,55.35
260109-015550420583906,已收货,,,119.6
260108-313660598661920,已收货,,,
260109-373261606510379,已收货,,,
260109-020562624852110,已收货,,,
260110-416211331490349,已收货,,,
260108-516434193962787,已收货,,,
260110-335628224022593,已收货,,,
260113-085479943741332,已发货，待收货,,,
260113-401782935982560,已发货，待收货,,,
260114-209405888050166,已发货，待收货,,,
260108-308375744022679,已收货,,,
260108-029606498582679,#N/A,,,
260108-269242929482894,已收货,,,
260108-059664023882894,已收货,,,
260108-568244365612526,已收货,,,
260108-357952459083614,已收货,,,
260108-342339152203614,已收货,,,
260108-606139902283614,已收货,,,
260108-474805778763614,未发货，退款成功,,,
260108-425847755083614,已收货,,,
260109-566734374453923,未发货，退款成功,,,
260109-410328840492303,未发货，退款成功,,,
260110-474816233822511,未发货，退款成功,,,
260110-054274353582511,#N/A,,,
260108-233821969963387,未发货，退款成功,,,
260109-215167813210121,未发货，退款成功,,,
260110-591711506823984,未发货，退款成功,,,
260108-402380561963387,未发货，退款成功,,,
260110-087220621711564,未发货，退款成功,,,
260110-174336325940264,未发货，退款成功,,,
260110-575039158691059,未发货，退款成功,,,
260110-328885900890121,未发货，退款成功,,,
260108-160620879512905,未发货，退款成功,,,
260109-467161639200683,未发货，退款成功,,,
260109-063732467223572,未发货，退款成功,,,
260109-462694705482710,已发货，待收货,,,
260109-072163070282710,已发货，退款成功,,,
260109-400556070493057,已收货,,,
260109-394851786333057,已收货,,,
260110-083267448343393,已发货，待收货,,,
260110-150963515001519,已发货，待收货,,,
260110-402988788061249,已发货，待收货,,,
260110-583490681231182,未发货，退款成功,,,
260110-587810814351182,未发货，退款成功,,,
260110-184612360591182,未发货，退款成功,,,
260110-629460180632369,已收货,,,
260110-142016756998000,#N/A,,,
260110-142016757332820,#N/A,,,
260110-522148933222498,未发货，退款成功,,,
260109-049597714760104,已收货,,,
