id,product_id,title,price,total_sales,monthly_sales,weekly_sales,daily_sales_tag,hot_sales,grabbed_sales,daily_increment,product_url,monitor_date,scrape_time
483,882919216767,VIOMI云米净水器 800G 厨下净饮一体机水过滤 长效RO膜小米APP,683.9,,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=882919216767,2026-04-08,2026-04-08 16:19:27
484,734308010080,安吉尔净水器前置过滤器家用反冲洗全铜自来水全屋大流量饮水机,398.0,,,100,,,14000,,https://mobile.yangkeduo.com/goods.html?goods_id=734308010080,2026-04-08,2026-04-08 16:19:35
485,856336872464,新款安吉尔净水器家用直饮厨房RO反渗透净饮水机魔方2代PRO2200,1483.0,,,,,,778,,https://mobile.yangkeduo.com/goods.html?goods_id=856336872464,2026-04-08,2026-04-08 16:19:35
486,699100129664,安吉尔净水器家用魔方1900反渗透RO1.94L/分钟大通量厨下式纯水机,1107.0,,,,,,317,,https://mobile.yangkeduo.com/goods.html?goods_id=699100129664,2026-04-08,2026-04-08 16:19:35
487,761269681404,安吉尔魔方MINIPRO净水器家用直饮机RO反渗透瞬时1200G体验0水垢,976.0,,,,,,85,,https://mobile.yangkeduo.com/goods.html?goods_id=761269681404,2026-04-08,2026-04-08 16:19:35
488,855128837800,安吉尔净水器玉龙MAX1200G家用过滤反渗透厨下直饮净水机航天除菌,2149.0,2224,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=855128837800,2026-04-08,2026-04-08 16:19:35
489,811888713441,安吉尔净水器母婴级家用直饮矿物质水RO反渗透1200G厨下式净水机,3112.9,,,,,,126,,https://mobile.yangkeduo.com/goods.html?goods_id=811888713441,2026-04-08,2026-04-08 16:19:35
490,931214270159,安吉尔净水器家用直饮哪吒1200G大通量RO反渗透厨下真矿水净水机,2349.0,266,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=931214270159,2026-04-08,2026-04-08 16:19:35
491,873595385182,安吉尔净水器反渗透厨下净饮机1500G流速5年长效RO家用E-TECH3800,1479.02,207,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=873595385182,2026-04-08,2026-04-08 16:19:35
492,849113980297,安吉尔净水器家用RO反渗透矿物质厨下式自来水直饮大通量净水机,2798.0,,,,,,60,,https://mobile.yangkeduo.com/goods.html?goods_id=849113980297,2026-04-08,2026-04-08 16:19:35
493,526557227471,安吉尔10T前置过滤器全自动智能家用净水器自来水过滤反冲洗,859.0,,,,,,5404,,https://mobile.yangkeduo.com/goods.html?goods_id=526557227471,2026-04-08,2026-04-08 16:19:35
494,229210610109,安吉尔净水器家用厨房直饮机RO反渗透自来水过滤流量哪吒PRO2900,1653.0,6394,,,,,,,https://mobile.yangkeduo.com/goods.html?goods_id=229210610109,2026-04-08,2026-04-08 16:19:35
