日期,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,千次展现花费,总预售成交金额,总预售成交笔数,直接预售成交金额,直接预售成交笔数,间接预售成交金额,间接预售成交笔数,直接成交金额,间接成交金额,总成交金额,总成交笔数,直接成交笔数,间接成交笔数,点击转化率,投入产出比,总成交成本,总购物车数,直接购物车数,间接购物车数,加购率,收藏宝贝数,收藏店铺数,店铺收藏成本,总收藏加购数,总收藏加购成本,宝贝收藏加购数,宝贝收藏加购成本,总收藏数,宝贝收藏成本,宝贝收藏率,加购成本,拍下订单笔数,拍下订单金额,直接收藏宝贝数,间接收藏宝贝数,优惠券领取量,购物金充值笔数,购物金充值金额,旺旺咨询量,引导访问量,引导访问人数,引导访问潜客数,引导访问潜客占比,入会率,入会量,引导访问率,深度访问量,平均访问页面数,成交新客数,成交新客占比,会员首购人数,会员成交金额,会员成交笔数,成交人数,人均成交笔数,人均成交金额,自然流量转化金额,自然流量曝光量,平台助推总成交,平台助推直接成交,平台助推点击
2025-09-17,867339045616,商品,云米智能马桶零压冲水脚踢感应翻盖泡沫盾小鲸鱼2pro官方旗舰店,2128,30,79.27,0.0141,2.64,37.25,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,1,0,,1,79.27,1,79.27,1,79.27,0.03333,,0,0.00,1,0,0,0,0.00,0,39,30,27,0.9,0,0,0.01833,8,1,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,859596092874,商品,云米智能门锁3D人脸智能门锁电子指纹锁家用防盗密码锁蓝调2a pro,10251,210,552.13,0.02049,2.63,53.86,0.00,0,0.00,0,0.00,0,3596.00,1299.00,4895.00,5,4,1,0.02381,8.87,110.43,11,9,2,0.05238,5,1,552.13,17,32.48,16,34.51,6,110.43,0.02381,50.19,6,9694.00,5,0,0,0,0.00,13,427,239,212,0.88703,0,0,0.04165,156,2,4,1,0,0.00,0,4,1,1223.75,0.00,0,0.00,0.00,0
2025-09-17,839274619649,商品,云米昆仑3Pro矿泉即热净水器1000G鲜热净饮机母婴直饮RO膜反渗透,2911,27,47.23,0.00928,1.75,16.22,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,58,29,20,0.68966,0,0,0.01992,12,2,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,837518155964,商品,[1.11洗净比]云米洗衣机滚筒家用全自动超薄10kg大容量[除菌除螨],3,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,831641379841,商品,云米昆仑Super 2E 1000G矿泉净水器RO膜厨房自来水过滤器矿物质,6921,42,93.58,0.00607,2.23,13.52,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,1,0,1,0.02381,1,0,,2,46.79,2,46.79,1,93.58,0.02381,93.58,0,0.00,1,0,0,0,0.00,0,114,37,35,0.94595,0,0,0.01647,41,3,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,828385611984,商品,云米热水器家用电热水器储水式卫生间洗澡速热出租房用50升X1,1710,22,40.04,0.01287,1.82,23.42,0.00,0,0.00,0,0.00,0,0.00,699.00,699.00,1,0,1,0.04545,17.46,40.04,0,0,0,0,0,0,,0,,0,,0,,0,,1,1999.00,0,0,0,0,0.00,1,43,20,9,0.45,0,0,0.02515,21,2,1,1,0,0.00,0,1,1,699.00,0.00,0,0.00,0.00,0
2025-09-17,825323478418,商品,云米鲲鹏油烟机家用厨房大吸力大风量抽油烟机单烟机,20,2,4.34,0.1,2.17,217.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,4,2,1,0.5,0,0,0.2,2,2,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,766129700011,商品,云米智能门锁人脸识别猫眼大屏指纹密码锁家用智能锁蓝调2a pro,14254,138,280.61,0.00968,2.03,19.69,0.00,0,0.00,0,0.00,0,0.00,635.00,635.00,2,0,2,0.01449,2.26,140.31,2,1,1,0.01449,1,0,,3,93.54,3,93.54,1,280.61,0.00725,140.31,3,636.00,1,0,0,0,0.00,6,239,131,123,0.93893,0,0,0.01677,82,2,1,1,0,0.00,0,1,2,635.00,0.00,0,0.00,0.00,0
2025-09-17,743595234042,商品,云米滚筒洗衣机12KG超薄直驱全自动家用大容量洗烘一体Super 2Max,312,4,2.25,0.01282,0.56,7.21,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,5,4,4,1,0,0,0.01603,1,1,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,714696231559,商品,以旧换新补贴云米冰箱十字门大容量超薄零嵌入式冰箱风冷无霜500,3736,51,45.81,0.01365,0.90,12.26,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,64,39,22,0.5641,0,0,0.01713,3,2,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,679863140859,商品,云米super油烟机厨房家用24m?大吸力大风量抽烟机顶侧三吸旗舰店,60,7,16.42,0.11667,2.35,273.67,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,9,4,4,1,0,0,0.15,5,2,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,678410193065,商品,云米小蓝调电热水器60升3200W家用租房卫生间洗澡速热一级能效,252,1,2.88,0.00397,2.88,11.43,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,1,1,1,1,1,0,0,0.00397,0,1,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,678371690118,商品,云米电热水器50L升3200W家用速热触摸屏控制小蓝调,90,4,5.37,0.04444,1.34,59.67,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,11,3,2,0.66667,0,0,0.12222,7,4,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,671890389960,商品,云米家用净水器ro反渗透净水机Super Y1200G管线机前置过滤器套餐,12235,54,112.56,0.00441,2.08,9.20,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,1,1,0,0.01852,0,0,,1,112.56,1,112.56,0,,0,112.56,0,0.00,0,0,0,0,0.00,0,121,46,39,0.84783,0,0,0.00989,48,3,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,656747298911,商品,云米10公斤超薄滚筒洗衣机除菌家用全自动洗烘干一体机Super2S,80,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,655513921354,商品,【超值套装】云米油烟机家用大吸力侧吸抽油烟机厨房净油烟旗舰店,377,7,37.03,0.01857,5.29,98.22,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,10,7,5,0.71429,0,0,0.02653,3,1,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,628098391023,商品,[超薄嵌入]云米滚筒洗衣机10公斤大容量全自动家用洗烘一体机m1,247,6,3.07,0.02429,0.51,12.43,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,0,0,0,0,0,0,,0,,0,,0,,0,,0,0.00,0,0,0,0,0.00,0,12,6,4,0.66667,0,0,0.04858,6,2,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,625597690034,商品,云米净水器小蓝调600G+反渗透RO净水机家用直饮厨房已接入米家APP,1330,86,467.53,0.06466,5.44,351.53,0.00,0,0.00,0,0.00,0,7092.00,1699.00,8791.00,9,8,1,0.10465,18.80,51.95,18,17,1,0.2093,0,0,,18,25.97,18,25.97,0,,0,25.97,14,36186.00,0,0,0,0,0.00,5,334,66,50,0.75758,0,0,0.25113,248,5,9,1,1,999.00,1,9,1,976.78,0.00,0,0.00,0.00,0
2025-09-17,622906064684,商品,云米蓝调2节能燃气热水器13L智能恒温家用洗澡防冻已接入米家APP,10289,161,186.03,0.01565,1.16,18.08,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0,0.00,,2,1,1,0.01242,0,0,,2,93.02,2,93.02,0,,0,93.02,0,0.00,0,0,0,0,0.00,3,281,142,105,0.73944,0,0,0.02731,52,2,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
2025-09-17,618018564033,商品,云米智能马桶泡沫盾座便器虹吸座圈恒温小鲸鱼2正品官方旗舰店,1,0,0.00,0,,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,,,,0,0,0,,0,0,,0,,0,,0,,,,0,0.00,0,0,0,0,0.00,0,0,0,0,,,0,0,0,,0,,0,0.00,0,0,,,0.00,0,0.00,0.00,0
